nrc_polarity,lsd2015_polarity,geninq_polarity
1,0,0
1,0,0.333333333
-1,-1,0
-0.333333333,-1,-1
-1,-1,0
1,0,0
-1,-1,0
0,0,1
1,1,0
0.333333333,-1,-0.5
1,1,0
-1,-1,-1
0,1,0
1,-1,0
-1,0,0
0.333333333,0,0.333333333
0,0,0
0,0,1
0,1,0
-1,-1,-1
-1,-1,-0.333333333
-1,-1,-1
1,1,-1
1,0,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,-0.5,-0.5
1,0,0
0,-1,0
0,-1,0
-1,0,-1
0,0,0
-1,-1,-1
0,-1,-1
1,1,0.333333333
0,0,0
-1,-1,-1
-1,-1,0
-1,-1,-1
0,0,1
0,-1,1
0,-0.333333333,0
-1,1,0
-1,0,-0.5
-1,-1,1
0,0,1
0,0,0
0,0,0
0,-1,0
0.5,0,0
0,0,0
0,0,1
0,1,0
-1,-1,-1
0.333333333,0,0
0,0,-0.333333333
-1,-1,-1
0,0,0
0,0,1
0,-1,0
0,-0.5,0
0,1,0
-1,-1,1
0,-1,-1
0,-1,0
0,-1,0.333333333
0,-1,-1
-1,0,0
0,0,1
0,-1,1
0,0,0
0,-1,-1
0,1,0
0,-1,-1
0,-1,-1
1,1,-0.333333333
0,-1,0
0,-1,-1
-1,-0.333333333,-1
1,1,1
-1,-1,-1
0,0,0
-1,-1,-1
0,1,1
1,0,0
0,1,0
-1,-1,-1
-0.333333333,-1,1
1,1,0.6
0,0,0
-1,-0.333333333,-1
0,0,0
-1,0,-1
0,0,0
0,-1,0
1,1,1
0,-0.333333333,0
-1,-1,-1
0,0,0
1,0,-1
-1,-0.333333333,0.333333333
0,-1,-1
0,0,0
1,1,1
-1,-1,-0.333333333
0,0,0
-1,0,-1
-1,-1,-1
1,1,0
-1,-1,-1
-0.333333333,0,-0.333333333
0,-1,0
-1,-1,-1
-1,0,-1
0,0,1
-1,-1,-1
-1,-1,-1
0,0,-0.333333333
1,1,1
0,0,0
0,0,0
-1,-1,0
0,0,-0.333333333
-1,-1,-1
0,0,0
-1,-1,-1
1,0,0
-1,0,-1
-1,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,0
1,1,1
-1,1,1
0,0,0
0,0,0
-0.333333333,0,0
1,1,1
0,-1,0
-1,-1,-1
-1,-1,0
1,0,0
-1,-1,-1
0,0,1
0,1,1
-1,-1,-1
-1,-1,-1
0,0,0
-1,0,-1
-0.333333333,0,-0.333333333
1,1,1
0,0,-1
0,-0.333333333,1
0,-1,0
0,0,1
-1,-1,-1
-1,0,-1
-1,-1,0
-1,-1,-1
-1,-1,-1
-0.333333333,1,-1
0,0,0
1,0,-1
1,0,0
1,-1,-1
-1,-1,-1
0,1,0
0,1,-1
-1,-1,-1
0.333333333,0,-1
-1,0,0
-0.333333333,0,0
-0.333333333,-1,-1
0,0,0
-1,0,0
-1,-1,-1
0,0,1
0,1,0
0,0,1
-0.333333333,-1,-1
-1,-1,-1
1,1,1
-1,-0.333333333,-1
-1,-0.333333333,-1
-1,-1,-1
0,0,-1
-1,-1,-1
0,-1,-1
0,0,0
1,1,1
0,0,-1
-1,0,-1
0,0,0
0,-1,0
1,1,0
-1,-1,-1
0,0,0
0,-1,0
-1,-1,-1
0,-1,0
-1,-1,-1
1,0,0
-1,0,-1
1,1,1
-1,0,0
1,0,0
0,1,0
1,0,1
0,-1,-1
1,-1,0
0,0,1
0.333333333,-1,-1
0,0,0
1,-1,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,0
-0.333333333,0.333333333,-0.333333333
-1,-1,-1
-1,-1,-1
0,-1,0
-1,-1,-1
0,1,0
-1,0,1
-1,-1,-1
-0.333333333,-1,-1
1,0,-1
0,0,0
0,0.333333333,0
1,1,1
0,-1,0
-0.333333333,-0.5,-0.5
-1,-1,0
-1,-1,-1
0,0,0
0,-1,-1
-1,-1,-1
0,1,-1
0.5,0,0
0,-1,-1
1,-1,-1
-0.333333333,-0.333333333,-1
-1,-1,-1
-1,-1,-1
0,0,0
1,-1,0
0.5,-1,0
1,0,0
0.333333333,1,1
0,0,0
0,0.333333333,0
-1,-1,-1
-1,-1,0
-0.333333333,-1,-0.333333333
-1,-0.333333333,0
1,0,1
-0.5,-1,-1
-1,0,1
0,-1,0
-1,-1,-1
-0.333333333,-1,-1
-1,0,-1
0,0,0
-1,-1,-1
-1,-1,0
-1,0,0
0,-1,-1
0,0,0
1,0,1
0,0,0
-1,0,1
1,1,0.333333333
0,0,-0.333333333
0,-1,-1
1,1,1
0,0,-1
0,-1,0
1,0,0
1,0,0.5
-1,0,0
0,-1,0
0.333333333,0,0
-0.333333333,-1,-1
1,-1,0
0,-1,0
0,0,0
-1,-1,-1
0,0,0
0,-1,0
-0.2,-0.2,-0.5
1,1,1
1,0,0
0,0.333333333,0.333333333
0,0,-1
0,-1,0
0,0.333333333,0
0,0,0
1,0,0
1,0,1
1,0,0
0,-1,-1
0,0,1
0,0,0
0,-1,0
1,1,0.333333333
1,0.333333333,1
0,0,0
0,1,0
1,1,0.333333333
0,0,0
-1,-1,-1
-1,0,0
-1,-1,-1
0,1,0
1,-1,-0.333333333
0,-1,-0.333333333
1,0,0
1,1,1
0,-1,0
1,1,1
0,0,0
1,1,1
1,0,1
1,0,-1
-1,0,1
-1,-1,-1
1,-1,0
1,1,1
-1,-1,-1
1,0,0
-1,-1,-1
-1,-1,-1
1,0,1
0,0,0
-1,-1,-1
0,0,-1
-1,-1,-1
0,-1,0
-1,0,0
0,-1,0
-1,-1,-1
1,1,1
0,0,0
